Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
K010 T,1.6885,1.6638,1.6638,0.38006,0.30121,0.10923,0.070316,7.4163,9.5851,3.9279,4.0231,6.6454,3.7702
K010 UP,2.495,2.4644,2.4644,0.51026,0.4031,0.15942,0.10383,9.2482,11.8431,7.1383,6.033,8.3336,4.6629
K010 W,1.5506,1.509,1.509,0.39411,0.32747,0.087717,0.051731,6.3392,7.6745,6.6614,7.569,5.7449,3.6707
K013 T,3.7494,3.6892,3.6892,0.84541,0.685,0.24471,0.15487,14.5802,17.8552,9.4262,8.1418,12.3097,7.724
K013 UP,1.7736,1.7485,1.7485,0.44414,0.35806,0.16224,0.11266,7.2225,9.3261,3.7196,3.2986,5.7277,3.86
K013 W,5.5335,5.4356,5.4356,1.07,0.85012,0.27562,0.15995,18.1464,24.1473,25.2518,23.4929,16.5533,9.7715
K018 T,1.2591,1.2367,1.2367,0.2961,0.2351,0.10951,0.075386,4.638,7.5102,6.0473,5.7337,3.8824,3.1525
K018 T rep,1.2272,1.2071,1.2071,0.27663,0.21719,0.095798,0.065241,4.6496,7.586,6.4771,5.7862,3.8883,3.1695
K018 UP,5.6288,5.5725,5.5725,0.96943,0.75927,0.31747,0.21579,19.2338,25.3411,36.0865,30.8912,19.4735,9.7077
K018 W,0.36367,0.35813,0.35813,0.074061,0.05716,0.024313,0.015056,1.515,2.1853,1.3013,1.4106,1.1929,0.98759
K019 T,0.91885,0.89995,0.89995,0.23921,0.19061,0.079649,0.053177,4.0912,5.5698,2.9956,3.7165,3.8279,2.1914
K019 UP,4.8611,4.7634,4.7634,1.0372,0.82803,0.33695,0.22098,16.8814,22.0776,18.4689,19.2057,17.6679,9.4932
K019 W,0.25528,0.24968,0.24968,0.074751,0.060626,0.02313,0.015342,1.373,2.3851,0.77319,0.71723,1.4102,0.87183
K025 T,3.2746,3.2224,3.2224,0.74939,0.58741,0.23977,0.16719,11.4462,14.9284,6.4829,6.6663,9.4801,6.4947
K025 UP,3.0477,2.9887,2.9887,0.65572,0.4795,0.18089,0.12291,20.522,21.0299,3.2746,4.3727,17.7038,8.521
K025 W,1.3464,1.3222,1.3222,0.28504,0.21747,0.076816,0.04754,5.8712,8.7079,2.9599,2.7651,5.0612,3.6287
K026 T,6.9889,6.8837,6.8837,1.7823,1.3986,0.56679,0.37845,26.2906,36.2835,9.7849,9.739,21.4178,16.3103
K026 UP,0.74561,0.72845,0.72845,0.19774,0.15607,0.068618,0.047461,4.4848,6.7442,1.591,1.2998,4.1651,2.5329
K026 W,1.1244,1.0881,1.0881,0.25807,0.20515,0.075885,0.047544,3.8025,5.2032,3.6789,3.972,3.3973,2.587
K026 W rep,1.1221,1.0847,1.0847,0.25279,0.20033,0.073497,0.047456,3.7565,5.1712,3.4219,3.7039,3.3352,2.5148
K035 T,3.8933,3.8415,3.8415,0.90882,0.74075,0.29401,0.19864,11.6855,15.7688,20.1667,19.1725,9.7824,7.5595
K035 UP,2.2208,2.1778,2.1778,0.53664,0.42765,0.18844,0.13073,9.6994,12.9749,3.9768,3.5198,8.5938,5.1586
K035 UP rep,2.2072,2.1608,2.1608,0.51654,0.40894,0.1712,0.11284,9.847,12.7807,3.9992,3.4074,8.6605,5.2293
K035 W,5.652,5.6065,5.6065,0.82356,0.62817,0.21816,0.13882,17.0171,18.5638,59.9878,57.9464,19.7448,7.1309
K048 T,1.8751,1.8469,1.8469,0.40399,0.31551,0.11316,0.072698,8.2858,11.845,7.0285,6.6163,7.8896,4.6011
K048 UP,2.3369,2.2838,2.2838,0.53669,0.41905,0.18248,0.12864,10.6619,15.0809,6.4994,5.4582,9.1193,5.8763
K048 W,1.3387,1.2919,1.2919,0.3245,0.26819,0.10388,0.076422,4.4194,4.7873,6.219,8.7228,3.9683,2.3195
K050 T,0.92361,0.90593,0.90593,0.20596,0.15906,0.05698,0.036252,4.7004,6.5818,1.5074,1.6754,4.1873,2.6233
K050 UP,31.7302,30.7613,30.7613,6.5211,4.7883,1.7349,1.0979,206.1586,258.2955,67.9785,45.9355,179.1003,100.0433
K050 W,1.3621,1.3435,1.3435,0.23765,0.17207,0.060197,0.042961,4.1718,4.4916,10.4455,28.1027,3.9358,2.1513
K061 T,0.741,0.72744,0.72744,0.16026,0.12295,0.05057,0.034679,4.1235,6.7809,3.644,3.2721,3.6025,2.5548
K061 UP,1.253,1.2301,1.2301,0.26489,0.20345,0.080067,0.052335,6.8405,10.3289,4.1081,3.681,6.1885,3.6799
K061 W,2.2843,2.2376,2.2376,0.49892,0.38625,0.14317,0.091822,10.6869,16.3025,6.6134,6.1298,9.5237,6.5047
poT09Nov22,0.15534,0.16096,0.16096,0.047894,0.03764,0.012492,0.0098731,0.16848,0.19681,0.74733,0.72948,0.24493,0.036882
poT10Nov22,0.15594,0.16147,0.16147,0.047997,0.037719,0.012707,0.010167,0.16412,0.19018,0.73465,0.71058,0.2472,0.038068
poT14Nov22,0.1539,0.15947,0.15947,0.047089,0.036901,0.012022,0.0093661,0.16676,0.20604,0.71344,0.70068,0.24194,0.036263
poT15Nov22,0.15339,0.15893,0.15893,0.046737,0.036585,0.011929,0.0095009,0.16231,0.16981,0.67253,0.65652,0.22548,0.036612
prT09Nov22,0.15487,0.16037,0.16037,0.047572,0.03744,0.012393,0.0096429,0.16562,0.18882,0.74094,0.721,0.25141,0.038529
prT10Nov22,0.15595,0.16149,0.16149,0.047955,0.037726,0.012472,0.0097511,0.16546,0.1985,0.71537,0.70399,0.24468,0.037769
prT14Nov,0.1544,0.15993,0.15993,0.047059,0.036866,0.0119,0.0090977,0.16963,0.17906,0.72046,0.70978,0.2398,0.035335
prT14Nov22,0.15537,0.16092,0.16092,0.047873,0.03769,0.012488,0.0097551,0.16879,0.18516,0.73919,0.7354,0.24375,0.036495
prT15Nov22,0.15349,0.15906,0.15906,0.046582,0.036463,0.011621,0.0089744,0.16144,0.17562,0.69454,0.68277,0.24046,0.035919
