Wavelength (nm)	Dilution Corrected Absorbance
230	1.658708
233	1.583267
236	1.525175
239	1.47513
242	1.432107
245	1.398868
248	1.371049
251	1.346357
254	1.322236
257	1.295633
260	1.265442
263	1.231197
266	1.19194
269	1.149781
272	1.102225
275	1.053424
278	1.003323
281	0.9469634
284	0.8900467
287	0.8255456
290	0.7912617
293	0.7457672
296	0.7044621
299	0.6659166
302	0.6309114
305	0.5987906
308	0.5708326
311	0.5453351
314	0.5200641
317	0.4968452
320	0.4743422
323	0.4519441
326	0.4299437
329	0.4095051
332	0.3892748
335	0.370329
338	0.3518356
341	0.3333228
344	0.3163764
347	0.3000943
350	0.2850417
353	0.2701539
356	0.2563495
359	0.243578
362	0.2302513
365	0.2174727
368	0.2049044
371	0.1919786
374	0.1790696
377	0.1670366
380	0.1560291
383	0.1458844
386	0.1357754
389	0.1267321
392	0.1186924
395	0.110748
398	0.104031
401	0.09811909
404	0.0922519
407	0.08651147
410	0.08133802
413	0.07681569
416	0.07260274
419	0.06868621
422	0.06503629
425	0.06211311
428	0.05906044
431	0.05571273
434	0.0529754
437	0.05025651
440	0.04754001
443	0.04504762
446	0.04287105
449	0.04079572
452	0.03892241
455	0.03743501
458	0.03602696
461	0.0347936
464	0.03321758
467	0.03194859
470	0.03080373
473	0.02962623
476	0.02819668
479	0.02683028
482	0.02574243
485	0.02482803
488	0.02361151
491	0.02264845
494	0.02154688
497	0.02073545
500	0.0200732
503	0.019295
506	0.01829876
509	0.01777484
512	0.01700221
515	0.01629075
518	0.01563835
521	0.01514953
524	0.01455895
527	0.01404094
530	0.01312781
533	0.01266702
536	0.01249856
539	0.01202522
542	0.01121043
545	0.01107985
548	0.01104296
551	0.01074948
554	0.01036289
557	0.0101419
560	0.009863676
563	0.009758505
566	0.01264378
569	0.0133656
572	0.01344201
575	0.0131007
578	0.01240006
581	0.01212685
584	0.01213262
587	0.0118492
590	0.01135305
593	0.0110586
596	0.01141302
599	0.01110173
602	0.01045277
605	0.01028803
608	0.01044407
611	0.01046833
614	0.009876242
617	0.009322473
620	0.009418976
623	0.009623996
626	0.009274624
629	0.009040328
632	0.009134777
635	0.009305437
638	0.008909428
641	0.00859234
644	0.008786881
647	0.009078335
650	0.008645313
653	0.008379099
656	0.008702044
659	0.008988496
662	0.008012582
665	0.007681353
668	0.007594878
671	0.008041253
674	0.007411614
677	0.007574862
680	0.007718853
683	0.007832246
686	0.007100111
689	0.006213864
692	0.006514758
695	0.006685285
698	0.005490902
701	0.005359598
704	0.005858386
707	0.00645828
710	0.006306034
713	0.005664907
716	0.00519179
719	0.004750863
722	0.004405333
725	0.00443053
728	0.00451993
731	0.004185827
734	0.003595258
737	0.002938748
740	0.002273044
743	0.002435002
746	0.002258547
749	0.002586556
752	0.002688942
755	0.002641335
758	0.003836923
761	0.003816093
764	0.003699167
767	0.004171398
770	0.005306633
773	0.005601167
776	0.005199192
779	0.006594336
782	0.007063898
785	0.006913123
788	0.006419951
791	0.006985716
794	0.00734417
797	0.007429933
800	0.006997352
