Wavelength (nm)	Dilution Corrected Absorbance
230	1.517375
233	1.437567
236	1.379417
239	1.333939
242	1.297741
245	1.2696
248	1.24729
251	1.22722
254	1.20709
257	1.186337
260	1.162872
263	1.13605
266	1.106166
269	1.073347
272	1.034244
275	0.9915871
278	0.945703
281	0.8918511
284	0.8342637
287	0.7705281
290	0.7329265
293	0.6878379
296	0.649934
299	0.616672
302	0.5884973
305	0.5639407
308	0.5423147
311	0.5222289
314	0.5013849
317	0.4810535
320	0.4601138
323	0.4383709
326	0.4165633
329	0.3961656
332	0.3758096
335	0.3569567
338	0.3389441
341	0.321409
344	0.3053092
347	0.2904112
350	0.2766251
353	0.2632749
356	0.2511332
359	0.2396542
362	0.2282002
365	0.2171911
368	0.2063588
371	0.1954072
374	0.1851202
377	0.1752093
380	0.1661588
383	0.1577879
386	0.1496375
389	0.1420685
392	0.1350926
395	0.1279868
398	0.1222906
401	0.1167967
404	0.1113924
407	0.1061907
410	0.1009732
413	0.09579801
416	0.09117518
419	0.0870015
422	0.08303992
425	0.08002999
428	0.07661825
431	0.07349785
434	0.07041089
437	0.06773843
440	0.06524124
443	0.06225873
446	0.05968847
449	0.05701041
452	0.05510469
455	0.05324215
458	0.05167361
461	0.05025035
464	0.04879512
467	0.04731012
470	0.0459484
473	0.04492856
476	0.04338373
479	0.04128512
482	0.03996189
485	0.03844866
488	0.03733304
491	0.03615521
494	0.03508329
497	0.03391087
500	0.03268151
503	0.03135281
506	0.03047385
509	0.02949377
512	0.02866643
515	0.02785161
518	0.02706356
521	0.02625962
524	0.02558167
527	0.02490192
530	0.02419493
533	0.0235536
536	0.02314095
539	0.02251329
542	0.02174165
545	0.02134592
548	0.02062435
551	0.02028683
554	0.01985637
557	0.0195523
560	0.01899051
563	0.01869985
566	0.01839506
569	0.01822687
572	0.01776499
575	0.01744046
578	0.01697153
581	0.0165843
584	0.01622846
587	0.01599291
590	0.01605459
593	0.0156439
596	0.01555429
599	0.01538333
602	0.01536989
605	0.01514703
608	0.0148258
611	0.01469259
614	0.01430445
617	0.01405846
620	0.0138487
623	0.01363573
626	0.01353704
629	0.01321378
632	0.01282179
635	0.01262136
638	0.01268904
641	0.01256098
644	0.01218593
647	0.01192225
650	0.0114145
653	0.01063095
656	0.01033448
659	0.00984899
662	0.009720998
665	0.009640804
668	0.009475401
671	0.009298646
674	0.009408578
677	0.009421286
680	0.009299585
683	0.008711421
686	0.008584133
689	0.008108461
692	0.008064751
695	0.007984373
698	0.008049458
701	0.008557215
704	0.008481654
707	0.008491984
710	0.007531828
713	0.006187666
716	0.005049048
719	0.004292521
722	0.004866673
725	0.006211939
728	0.007927523
731	0.008828665
734	0.00931971
737	0.009383931
740	0.008921806
743	0.008504858
746	0.007950465
749	0.007592466
752	0.007305412
755	0.006943248
758	0.006296311
761	0.005884324
764	0.005171327
767	0.00529446
770	0.005400948
773	0.00460425
776	0.003556146
779	0.00459927
782	0.003881338
785	0.003698921
788	0.002656078
791	0.002868452
794	0.003226627
797	0.003022608
800	0.003254331
