Wavelength (nm)	Dilution Corrected Absorbance
230	1.781013
233	1.631602
236	1.508189
239	1.396202
242	1.306277
245	1.231023
248	1.172166
251	1.124374
254	1.088119
257	1.056777
260	1.028667
263	1.002263
266	0.97526
269	0.9479453
272	0.9175483
275	0.8856418
278	0.8525281
281	0.8132285
284	0.772131
287	0.7204512
290	0.6963973
293	0.6607175
296	0.6277392
299	0.5961104
302	0.5670352
305	0.5399289
308	0.5160063
311	0.4934873
314	0.470913
317	0.449759
320	0.4287535
323	0.407546
326	0.3866048
329	0.3672633
332	0.3481535
335	0.3303042
338	0.3135567
341	0.2973528
344	0.2831185
347	0.2698592
350	0.2580684
353	0.2465442
356	0.235859
359	0.2260804
362	0.2155744
365	0.2051496
368	0.1945673
371	0.1831824
374	0.1714317
377	0.1598672
380	0.1495434
383	0.1399746
386	0.1304214
389	0.1218195
392	0.1141872
395	0.1070462
398	0.100978
401	0.09538984
404	0.0902431
407	0.08516521
410	0.08025555
413	0.07588493
416	0.07196647
419	0.06832568
422	0.06499986
425	0.06180217
428	0.05875642
431	0.05565312
434	0.05276504
437	0.05003624
440	0.04754443
443	0.04519087
446	0.04306373
449	0.0411081
452	0.03925666
455	0.03773248
458	0.03627541
461	0.03492729
464	0.03351178
467	0.03212512
470	0.03096767
473	0.02968561
476	0.0285024
479	0.02708208
482	0.02600967
485	0.02510593
488	0.02385318
491	0.02279408
494	0.02166956
497	0.02101901
500	0.02012357
503	0.01920926
506	0.01833583
509	0.01782162
512	0.01701803
515	0.01631231
518	0.01551027
521	0.01510728
524	0.01418787
527	0.01375438
530	0.01301247
533	0.01258386
536	0.01208857
539	0.01138252
542	0.01079556
545	0.01084353
548	0.01050336
551	0.01017105
554	0.00977067
557	0.009640588
560	0.009376851
563	0.008937184
566	0.008731085
569	0.00859914
572	0.008426521
575	0.007991504
578	0.007515937
581	0.007445323
584	0.007360942
587	0.006843719
590	0.006340416
593	0.006323567
596	0.006356941
599	0.006037065
602	0.00572943
605	0.005765779
608	0.005669071
611	0.005253392
614	0.004958706
617	0.004772663
620	0.00472324
623	0.004515074
626	0.004400705
629	0.004708582
632	0.00489464
635	0.004388887
638	0.004278174
641	0.004372441
644	0.004405811
647	0.00420256
650	0.004059194
653	0.004455078
656	0.00432094
659	0.004187937
662	0.003677253
665	0.003962336
668	0.003403554
671	0.003528969
674	0.003533075
677	0.0038623
680	0.003637761
683	0.003394283
686	0.002943434
689	0.002702463
692	0.002330524
695	0.002307008
698	0.001611715
701	0.001931338
704	0.001728188
707	0.002424839
710	0.001859309
713	0.001466716
716	0.0006451631
719	-7.383009e-06
722	-0.0003590655
725	-0.0004071239
728	-0.0002113343
731	-0.0007312219
734	-0.001873142
737	-0.002702454
740	-0.003352862
743	-0.003195894
746	-0.003577399
749	-0.00313234
752	-0.002451517
755	-0.002333439
758	-0.00235572
761	-0.001561063
764	-0.0008350278
767	-0.0009913204
770	-0.000185186
773	0.001209547
776	0.002447378
779	0.001764314
782	0.002013223
785	0.002875896
788	0.002966711
791	0.002860174
794	0.003876086
797	0.004054667
800	0.00375589
