Wavelength (nm)	Dilution Corrected Absorbance
230	1.52738
233	1.451768
236	1.398591
239	1.356978
242	1.323524
245	1.297451
248	1.275231
251	1.253037
254	1.230135
257	1.203806
260	1.173841
263	1.138889
266	1.100348
269	1.059809
272	1.014439
275	0.9674319
278	0.9183702
281	0.8646365
284	0.810253
287	0.7524393
290	0.7186254
293	0.6776151
296	0.6418416
299	0.6091262
302	0.5804285
305	0.5544504
308	0.5312682
311	0.5096279
314	0.4876109
317	0.4665208
320	0.4454358
323	0.423621
326	0.4023668
329	0.3826584
332	0.3630204
335	0.3447583
338	0.3271862
341	0.3099934
344	0.2939825
347	0.2789176
350	0.2648894
353	0.2511887
356	0.2384835
359	0.2267188
362	0.2148498
365	0.2034539
368	0.1923538
371	0.1811132
374	0.1702581
377	0.1600022
380	0.1504341
383	0.1417646
386	0.13322
389	0.1251096
392	0.1178346
395	0.1107102
398	0.1051343
401	0.0995242
404	0.09413742
407	0.08934073
410	0.08460396
413	0.08006737
416	0.07585123
419	0.07224022
422	0.06859703
425	0.06554498
428	0.06263499
431	0.05985706
434	0.05713565
437	0.05468032
440	0.05233492
443	0.05008208
446	0.04799035
449	0.04563858
452	0.04397123
455	0.04219567
458	0.04074033
461	0.03936292
464	0.03804316
467	0.03661578
470	0.03524502
473	0.03388683
476	0.03241203
479	0.03089176
482	0.02965708
485	0.02826091
488	0.02724715
491	0.02606688
494	0.02501718
497	0.02395235
500	0.02295872
503	0.02178352
506	0.02103273
509	0.02013182
512	0.01941586
515	0.01867503
518	0.01793352
521	0.01712597
524	0.01651041
527	0.01591289
530	0.01530055
533	0.01468773
536	0.01434202
539	0.01369748
542	0.01303436
545	0.01266347
548	0.01222031
551	0.01197602
554	0.0115425
557	0.01129845
560	0.01071264
563	0.01020754
566	0.009941588
569	0.009768337
572	0.009443585
575	0.009097798
578	0.008579375
581	0.008190971
584	0.008020564
587	0.007728278
590	0.007512209
593	0.007247078
596	0.007056141
599	0.006937995
602	0.006817042
605	0.006548299
608	0.006488515
611	0.006427473
614	0.006198003
617	0.005986044
620	0.005848907
623	0.005621245
626	0.005645909
629	0.00541666
632	0.00508021
635	0.004846355
638	0.004986849
641	0.004867498
644	0.004598386
647	0.00448219
650	0.004105583
653	0.00336331
656	0.003104573
659	0.002929881
662	0.002835039
665	0.002773944
668	0.002639125
671	0.002526397
674	0.002718041
677	0.002583234
680	0.002775771
683	0.002583716
686	0.002525188
689	0.002462533
692	0.002650736
695	0.002821931
698	0.0027402
701	0.003066646
704	0.003165219
707	0.003099248
710	0.002350617
713	0.001708762
716	0.001248828
719	0.001022825
722	0.001126039
725	0.001391601
728	0.001905481
731	0.002189606
734	0.002116197
737	0.00185022
740	0.001599156
743	0.001554729
746	0.001320804
749	0.001395682
752	0.00132015
755	0.001390869
758	0.00117808
761	0.001040112
764	0.001167888
767	0.001233009
770	0.001262119
773	0.00108913
776	0.0007100054
779	0.001669645
782	0.001721174
785	0.001525724
788	0.001067433
791	0.0008515423
794	0.0006795
797	0.001024664
800	0.0006745102
