Wavelength (nm)	Dilution Corrected Absorbance
230	3.803303
233	3.654303
236	3.514989
239	3.395548
242	3.279807
245	3.188159
248	3.110297
251	3.047715
254	2.988679
257	2.92922
260	2.867229
263	2.793225
266	2.708538
269	2.619874
272	2.520518
275	2.417349
278	2.315065
281	2.1987
284	2.084764
287	1.932786
290	1.883217
293	1.787835
296	1.697303
299	1.608329
302	1.524968
305	1.448538
308	1.380546
311	1.315171
314	1.248316
317	1.186463
320	1.127783
323	1.069581
326	1.015438
329	0.9649549
332	0.9136977
335	0.8672453
338	0.8214742
341	0.7767579
344	0.7348184
347	0.6938806
350	0.6557238
353	0.6173892
356	0.5792934
359	0.5462054
362	0.5124257
365	0.4795013
368	0.4493228
371	0.4209565
374	0.3932372
377	0.3689024
380	0.3467073
383	0.32636
386	0.3060189
389	0.2870501
392	0.2701458
395	0.2536281
398	0.2401414
401	0.2270695
404	0.2156227
407	0.2027534
410	0.1919138
413	0.1808855
416	0.1707672
419	0.1629616
422	0.1547023
425	0.1506292
428	0.144493
431	0.1381312
434	0.1335445
437	0.1285505
440	0.1229079
443	0.1169779
446	0.1128126
449	0.1084672
452	0.1053676
455	0.1026959
458	0.1010672
461	0.09911223
464	0.09758985
467	0.0945131
470	0.09271373
473	0.08987416
476	0.08801823
479	0.08458639
482	0.08219694
485	0.08037615
488	0.07759623
491	0.07487663
494	0.0736649
497	0.07213419
500	0.07033289
503	0.06817524
506	0.06682249
509	0.0649502
512	0.06364363
515	0.06194514
518	0.06030107
521	0.0598961
524	0.05867781
527	0.05790372
530	0.05739515
533	0.05584566
536	0.05610158
539	0.05510699
542	0.05429073
545	0.0544229
548	0.05310932
551	0.05342405
554	0.05274085
557	0.05235731
560	0.05209075
563	0.05162412
566	0.05160941
569	0.0515546
572	0.05133151
575	0.0514462
578	0.05153046
581	0.05122582
584	0.0514536
587	0.05099315
590	0.05079779
593	0.05089219
596	0.05110112
599	0.05035356
602	0.0499372
605	0.04926632
608	0.04986853
611	0.04959054
614	0.04987837
617	0.04942244
620	0.04930063
623	0.04935839
626	0.04885037
629	0.04929614
632	0.04949938
635	0.04964854
638	0.04891903
641	0.04798402
644	0.04802029
647	0.04894279
650	0.04888701
653	0.04832114
656	0.04911382
659	0.04848551
662	0.04616847
665	0.04665077
668	0.04693206
671	0.04684996
674	0.04638175
677	0.04711615
680	0.04719191
683	0.04575076
686	0.04460512
689	0.04513876
692	0.04457714
695	0.04456762
698	0.04191698
701	0.04362471
704	0.04594771
707	0.04459002
710	0.04369101
713	0.03813736
716	0.03300686
719	0.02863465
722	0.02783453
725	0.03071412
728	0.03311733
731	0.0321438
734	0.02815679
737	0.02468438
740	0.02051119
743	0.01943947
746	0.02064042
749	0.02314602
752	0.02487163
755	0.02535839
758	0.02683071
761	0.02898968
764	0.03056549
767	0.03141556
770	0.03506305
773	0.03670923
776	0.03819279
779	0.04185658
782	0.04289681
785	0.04342356
788	0.04543544
791	0.0467442
794	0.04610256
797	0.04656734
800	0.04540735
