Wavelength (nm)	Dilution Corrected Absorbance
230	1.621048
233	1.51796
236	1.444973
239	1.388363
242	1.344796
245	1.310425
248	1.283684
251	1.259085
254	1.236708
257	1.214011
260	1.189568
263	1.162161
266	1.132011
269	1.099368
272	1.061144
275	1.018468
278	0.9730136
281	0.9201151
284	0.864005
287	0.800997
290	0.763967
293	0.7192673
296	0.6813222
299	0.647705
302	0.6188569
305	0.5933098
308	0.5706417
311	0.5495032
314	0.5278815
317	0.506849
320	0.4853624
323	0.4626802
326	0.4402107
329	0.4192128
332	0.3982398
335	0.3788209
338	0.360057
341	0.3421634
344	0.3255821
347	0.3102494
350	0.2961006
353	0.2824497
356	0.2697474
359	0.2581685
362	0.2464859
365	0.2351026
368	0.224083
371	0.2130214
374	0.2024004
377	0.1923369
380	0.1829853
383	0.174374
386	0.1658215
389	0.1579756
392	0.1506511
395	0.1432678
398	0.1374173
401	0.1314237
404	0.1257195
407	0.1203873
410	0.1148897
413	0.1095144
416	0.1044164
419	0.09991121
422	0.09564356
425	0.09188197
428	0.08821111
431	0.08470046
434	0.08142857
437	0.07823254
440	0.07538563
443	0.07252856
446	0.06969555
449	0.06672411
452	0.06450814
455	0.06247762
458	0.06058074
461	0.05895059
464	0.05713962
467	0.05560121
470	0.05398539
473	0.05256181
476	0.05071625
479	0.04881421
482	0.04733835
485	0.04563029
488	0.04442354
491	0.0431934
494	0.041886
497	0.04062693
500	0.03937518
503	0.03799246
506	0.03688751
509	0.03580887
512	0.03480883
515	0.03379464
518	0.03294487
521	0.03212811
524	0.03134888
527	0.03054695
530	0.02963702
533	0.02900042
536	0.02834497
539	0.02759682
542	0.02665217
545	0.02606021
548	0.02532055
551	0.0247206
554	0.02437741
557	0.02375581
560	0.0231218
563	0.02259493
566	0.02229787
569	0.0217865
572	0.02135703
575	0.02085883
578	0.02003369
581	0.01967908
584	0.01940267
587	0.01907405
590	0.01875367
593	0.01831449
596	0.0178751
599	0.01754791
602	0.01722829
605	0.01694402
608	0.01665705
611	0.01636602
614	0.01606468
617	0.01577065
620	0.01537104
623	0.01501455
626	0.01479858
629	0.01450153
632	0.01412515
635	0.01384804
638	0.01378941
641	0.01346234
644	0.01305744
647	0.01289179
650	0.01227286
653	0.01122749
656	0.01088355
659	0.01067884
662	0.01058999
665	0.01052581
668	0.01052328
671	0.01021435
674	0.009985207
677	0.00999422
680	0.009856294
683	0.009468283
686	0.009272446
689	0.008986965
692	0.008954141
695	0.008720786
698	0.008417504
701	0.008539303
704	0.008536113
707	0.008391825
710	0.007643127
713	0.006071703
716	0.005180369
719	0.004675665
722	0.004977974
725	0.005531811
728	0.006460003
731	0.006689818
734	0.006452952
737	0.006190523
740	0.005613462
743	0.005322073
746	0.005113305
749	0.004927389
752	0.004885275
755	0.004637386
758	0.004173703
761	0.003936778
764	0.003750785
767	0.003835848
770	0.003844676
773	0.003385333
776	0.002805138
779	0.003852637
782	0.004202247
785	0.003653043
788	0.002902076
791	0.003054125
794	0.003621299
797	0.003293064
800	0.003262482
