Sample_ID,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
K018,0.02292,0.022259,0.022259,0.0038952,0.003044,0.0013845,0.00092563,0.088278,0.15044,0.058498,0.042715,0.093763,0.049749
K035,0.028394,0.027608,0.027608,0.0058794,0.0046544,0.0021604,0.0014266,0.12535,0.20376,0.068264,0.043697,0.12677,0.076026
K019,0.035077,0.034241,0.034241,0.0070784,0.005456,0.0022331,0.0013891,0.14907,0.24103,0.049223,0.027143,0.1519,0.087256
K016,0.028558,0.027802,0.027802,0.0057743,0.0045091,0.0019803,0.0012735,0.11466,0.18618,0.065592,0.048548,0.11822,0.068998
K047,0.040639,0.039725,0.039725,0.010379,0.0081996,0.0036416,0.0023663,0.20477,0.32696,0.084266,0.05553,0.20385,0.12403
K039,0.040762,0.039743,0.039743,0.010169,0.0080087,0.0036033,0.0023831,0.19942,0.30563,0.064188,0.038251,0.19182,0.12769
K053,0.038891,0.037936,0.037936,0.011193,0.0089278,0.0040231,0.0026578,0.23939,0.33185,0.10795,0.088228,0.22914,0.15139
K025,0.046426,0.045472,0.045472,0.016063,0.013274,0.0062865,0.0041909,0.21053,0.31035,0.098783,0.11019,0.20558,0.13064
K033,0.038385,0.03736,0.03736,0.0096568,0.0075848,0.0034409,0.002271,0.17541,0.27081,0.049079,0.028188,0.16505,0.12312
K004,0.034958,0.033889,0.033889,0.0077089,0.0060189,0.0026279,0.0016996,0.19899,0.32044,0.084105,0.048665,0.20004,0.12181
K023,0.043465,0.042467,0.042467,0.013348,0.010707,0.0048469,0.0031897,0.23824,0.33814,0.11826,0.11525,0.2288,0.14984
K026,0.036457,0.035602,0.035602,0.010693,0.0089072,0.0052004,0.0040187,0.14574,0.22363,0.072449,0.059514,0.1419,0.10028
K017,0.033079,0.03227,0.03227,0.0068298,0.0053262,0.0023277,0.0015333,0.16924,0.26971,0.065023,0.034508,0.17139,0.10012
K015,0.030633,0.029835,0.029835,0.0063081,0.0049547,0.0022417,0.0014976,0.14244,0.23421,0.067324,0.042572,0.1453,0.085016
K008,0.019479,0.0189,0.0189,0.0035643,0.0027717,0.0012353,0.00081479,0.087398,0.14605,0.05561,0.047432,0.090504,0.050135
K009,0.032711,0.031941,0.031941,0.008875,0.007117,0.0032852,0.0021829,0.13368,0.20518,0.077552,0.075806,0.13765,0.080235
K010,0.028621,0.027846,0.027846,0.0060306,0.0046784,0.0019998,0.0012853,0.15935,0.24698,0.078859,0.053595,0.16271,0.094845
K011,0.022154,0.021535,0.021535,0.0044504,0.0034908,0.0015586,0.001029,0.099655,0.16154,0.060546,0.049443,0.10425,0.058762
K012,0.055018,0.053742,0.053742,0.016639,0.013396,0.0060526,0.0040089,0.21211,0.32533,0.082022,0.10615,0.21215,0.12258
K013,0.03317,0.032187,0.032187,0.0077272,0.0060798,0.0027469,0.0018039,0.17652,0.28074,0.06879,0.040106,0.17413,0.11486
K020,0.019555,0.018956,0.018956,0.0036481,0.0029085,0.0013989,0.00095898,0.057261,0.10571,0.043839,0.04364,0.061912,0.031963
K021,0.035232,0.034389,0.034389,0.010811,0.0086637,0.0041476,0.0029335,0.12288,0.18605,0.064397,0.11155,0.12693,0.066409
K022,0.036634,0.035694,0.035694,0.0084692,0.0066725,0.0030477,0.0020391,0.16412,0.24613,0.055876,0.035245,0.16326,0.094631
K024,0.034178,0.033252,0.033252,0.0075779,0.0059289,0.0025912,0.0016731,0.15986,0.26031,0.061114,0.031838,0.15836,0.099544
K029,0.052389,0.051334,0.051334,0.016514,0.013139,0.0062068,0.0043353,0.24123,0.37843,0.074994,0.062798,0.22445,0.17082
K030,0.039462,0.038408,0.038408,0.010203,0.0079574,0.0034359,0.0022196,0.2117,0.32095,0.071047,0.041369,0.19995,0.14283
K034,0.034603,0.033774,0.033774,0.0077554,0.0060334,0.0025782,0.0016519,0.19304,0.29609,0.068436,0.034927,0.1883,0.11832
K036,0.032207,0.031385,0.031385,0.0074356,0.0059107,0.0028023,0.0018918,0.13451,0.22321,0.072404,0.048674,0.13604,0.085837
K037,0.030464,0.029728,0.029728,0.0070003,0.005455,0.0023443,0.0015501,0.15347,0.23597,0.05737,0.036794,0.15196,0.093167
K038,0.034299,0.033426,0.033426,0.0080532,0.0063314,0.0028109,0.0018597,0.16615,0.25233,0.077764,0.058742,0.16439,0.098982
K040,0.025176,0.024464,0.024464,0.0051735,0.0040569,0.0018477,0.0013169,0.096033,0.1593,0.047985,0.036828,0.098429,0.05947
K041,0.031276,0.030499,0.030499,0.0069066,0.005411,0.0023582,0.0015179,0.13991,0.22287,0.058936,0.039511,0.13841,0.08778
K042,0.10528,0.10431,0.10431,0.067764,0.061419,0.037507,0.027725,0.32862,0.51467,0.2238,0.56095,0.33138,0.20381
K043,0.023495,0.022873,0.022873,0.0049003,0.0038402,0.0017745,0.001239,0.11171,0.17703,0.061043,0.040579,0.11431,0.067236
K044,0.027576,0.026833,0.026833,0.0059787,0.0046573,0.0019974,0.0012733,0.13532,0.21685,0.056644,0.034207,0.1332,0.087011
K045,0.061653,0.060347,0.060347,0.019907,0.015992,0.0077554,0.0055187,0.1786,0.25432,0.047054,0.027662,0.15003,0.11807
K046,0.043943,0.042846,0.042846,0.012937,0.010312,0.0048807,0.0033295,0.20679,0.31555,0.077212,0.048758,0.19787,0.13854
K048,0.035852,0.034963,0.034963,0.01029,0.008165,0.0035005,0.002212,0.23675,0.36897,0.15279,0.12504,0.23916,0.14329
K049,0.027156,0.026491,0.026491,0.0050828,0.003906,0.0015894,0.0010176,0.11315,0.18437,0.055869,0.039222,0.12105,0.063752
K050,0.047443,0.046279,0.046279,0.013991,0.011073,0.0047492,0.0030803,0.1926,0.27324,0.057585,0.035178,0.17564,0.12185
K051,0.032848,0.032057,0.032057,0.0073173,0.0056654,0.0023689,0.0015023,0.16709,0.25739,0.063101,0.03826,0.16131,0.10865
K052,0.032497,0.031629,0.031629,0.0070686,0.0055349,0.0024245,0.001552,0.13858,0.2287,0.05827,0.038377,0.13857,0.085348
K054,0.043256,0.04225,0.04225,0.01144,0.0090243,0.0040471,0.0026819,0.22072,0.34516,0.064539,0.035559,0.20425,0.15698
K055,0.035661,0.03483,0.03483,0.010297,0.0083748,0.0043593,0.0031394,0.18715,0.28243,0.078741,0.048275,0.1811,0.11651
K056,0.041514,0.039551,0.039551,0.010779,0.0088503,0.0049047,0.0038724,0.17751,0.27543,0.063628,0.040326,0.17017,0.11947
K058,0.036984,0.036033,0.036033,0.0096142,0.0077974,0.0039576,0.0030359,0.18368,0.28879,0.062033,0.033097,0.17895,0.11906
K059,0.031219,0.030424,0.030424,0.0065991,0.0051534,0.0022244,0.0014169,0.13381,0.2179,0.053691,0.030348,0.13671,0.079905
K060,0.030857,0.03001,0.03001,0.0069105,0.0053929,0.0023841,0.0015878,0.15897,0.25462,0.072322,0.042997,0.15988,0.098488
K061,0.03906,0.03807,0.03807,0.010024,0.007894,0.0036174,0.0024681,0.23293,0.35639,0.07187,0.039012,0.22156,0.15744
K062,0.032311,0.031509,0.031509,0.0066824,0.0051152,0.0020656,0.0012961,0.1958,0.29962,0.077103,0.046437,0.19268,0.12218
