sample_name,tdn_date,npoc_date,campaign,kit_id,transect_location,npoc_mgl,tdn_mgl
EC1_K010_UP,20221108,20221108,EC1,K010,Upland,138.74,14.26
EC1_K013_UP,20221108,20221108,EC1,K013,Upland,94.9,10.92
EC1_K018_UP,20221108,20221111,EC1,K018,Upland,377.65,45.2
EC1_K019_UP,20221108,20221111,EC1,K019,Upland,263.6,22.06
EC1_K025_UP,20221108,20221111,EC1,K025,Upland,326.85,14.17
EC1_K026_UP,20221108,20221108,EC1,K026,Upland,31.76,7.11
EC1_K035_UP,20221108,20221108,EC1,K035,Upland,126.88,9.61
EC1_K048_UP,20221108,20221108,EC1,K048,Upland,154.16,14.8
EC1_K050_UP,20221108,20221111,EC1,K050,Upland,948.48,46.6
EC1_K061_UP,20221108,20221108,EC1,K061,Upland,69.04,7.91
EC1_K035_UP_rep,20221108,20221108,EC1,K035,Upland,126.46,9.13
EC1_K010_T,20221108,20221108,EC1,K010,Transition,89.34,8.4
EC1_K013_T,20221108,20221111,EC1,K013,Transition,218.4,21.54
EC1_K018_T,20221108,20221108,EC1,K018,Transition,79.04,10.54
EC1_K019_T,20221108,20221108,EC1,K019,Transition,34.18,2.41
EC1_K025_T,20221108,20221108,EC1,K025,Transition,192.48,13.6
EC1_K026_T,20221108,20221111,EC1,K026,Transition,302.95,28.8
EC1_K035_T,20221108,20221111,EC1,K035,Transition,292.65,29.22
EC1_K048_T,20221108,20221108,EC1,K048,Transition,124.98,12.34
EC1_K050_T,20221108,20221108,EC1,K050,Transition,49.1,3.84
EC1_K061_T,20221108,20221108,EC1,K061,Transition,43.5,4.72
EC1_K018_T_rep,20221108,20221108,EC1,K018,Transition,81.6,10.83
EC1_K010_W,20221108,20221108,EC1,K010,Wetland,145.84,12.6
EC1_K013_W,20221108,20221111,EC1,K013,Wetland,452.1,38.2
EC1_K018_W,20221108,20221108,EC1,K018,Wetland,40.34,4.65
EC1_K019_W,20221108,20221108,EC1,K019,Wetland,13.79,1.25
EC1_K025_W,20221108,20221108,EC1,K025,Wetland,93.34,7.51
EC1_K026_W,20221108,20221108,EC1,K026,Wetland,87.94,9.52
EC1_K035_W,20221108,20221111,EC1,K035,Wetland,736.11,57.02
EC1_K048_W,20221108,20221108,EC1,K048,Wetland,139.42,12.08
EC1_K050_W,20221108,20221111,EC1,K050,Wetland,274.05,18.85
EC1_K061_W,20221108,20221108,EC1,K061,Wetland,138.88,13.21
EC1_K026_W_rep,20221108,20221108,EC1,K026,Wetland,91.1,9.86
EC1_blank-filter1,20221108,20221111,NA,NA,NA,1.72,0.18
EC1_blank-sol1,20221108,20221111,NA,NA,NA,0.6,9999999
EC1_blank-filter2,20221108,20221111,NA,NA,NA,2.08,0.23
EC1_blank-sol2,20221108,20221111,NA,NA,NA,0.53,9999999
EC1_blank-filter3,20221108,20221111,NA,NA,NA,2.52,0.33
EC1_blank-sol3,20221108,20221111,NA,NA,NA,0.55,9999999
