campaign,Sample_ID,transect_location,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
EC1,K008,water,0.019479,0.0189,0.0189,0.0035643,0.0027717,0.0012353,0.00081479,0.087398,0.14605,0.05561,0.047432,0.090504,0.050135
EC1,K009,water,0.032711,0.031941,0.031941,0.008875,0.007117,0.0032852,0.0021829,0.13368,0.20518,0.077552,0.075806,0.13765,0.080235
EC1,K010,water,0.028621,0.027846,0.027846,0.0060306,0.0046784,0.0019998,0.0012853,0.15935,0.24698,0.078859,0.053595,0.16271,0.094845
EC1,K011,water,0.022154,0.021535,0.021535,0.0044504,0.0034908,0.0015586,0.001029,0.099655,0.16154,0.060546,0.049443,0.10425,0.058762
EC1,K012,water,0.055018,0.053742,0.053742,0.016639,0.013396,0.0060526,0.0040089,0.21211,0.32533,0.082022,0.10615,0.21215,0.12258
EC1,K013,water,0.03317,0.032187,0.032187,0.0077272,0.0060798,0.0027469,0.0018039,0.17652,0.28074,0.06879,0.040106,0.17413,0.11486
EC1,K020,water,0.019555,0.018956,0.018956,0.0036481,0.0029085,0.0013989,0.00095898,0.057261,0.10571,0.043839,0.04364,0.061912,0.031963
EC1,K021,water,0.035232,0.034389,0.034389,0.010811,0.0086637,0.0041476,0.0029335,0.12288,0.18605,0.064397,0.11155,0.12693,0.066409
EC1,K022,water,0.036634,0.035694,0.035694,0.0084692,0.0066725,0.0030477,0.0020391,0.16412,0.24613,0.055876,0.035245,0.16326,0.094631
EC1,K024,water,0.034178,0.033252,0.033252,0.0075779,0.0059289,0.0025912,0.0016731,0.15986,0.26031,0.061114,0.031838,0.15836,0.099544
EC1,K029,water,0.052389,0.051334,0.051334,0.016514,0.013139,0.0062068,0.0043353,0.24123,0.37843,0.074994,0.062798,0.22445,0.17082
EC1,K030,water,0.039462,0.038408,0.038408,0.010203,0.0079574,0.0034359,0.0022196,0.2117,0.32095,0.071047,0.041369,0.19995,0.14283
EC1,K034,water,0.034603,0.033774,0.033774,0.0077554,0.0060334,0.0025782,0.0016519,0.19304,0.29609,0.068436,0.034927,0.1883,0.11832
EC1,K036,water,0.032207,0.031385,0.031385,0.0074356,0.0059107,0.0028023,0.0018918,0.13451,0.22321,0.072404,0.048674,0.13604,0.085837
EC1,K037,water,0.030464,0.029728,0.029728,0.0070003,0.005455,0.0023443,0.0015501,0.15347,0.23597,0.05737,0.036794,0.15196,0.093167
EC1,K038,water,0.034299,0.033426,0.033426,0.0080532,0.0063314,0.0028109,0.0018597,0.16615,0.25233,0.077764,0.058742,0.16439,0.098982
EC1,K040,water,0.025176,0.024464,0.024464,0.0051735,0.0040569,0.0018477,0.0013169,0.096033,0.1593,0.047985,0.036828,0.098429,0.05947
EC1,K041,water,0.031276,0.030499,0.030499,0.0069066,0.005411,0.0023582,0.0015179,0.13991,0.22287,0.058936,0.039511,0.13841,0.08778
EC1,K042,water,0.10528,0.10431,0.10431,0.067764,0.061419,0.037507,0.027725,0.32862,0.51467,0.2238,0.56095,0.33138,0.20381
EC1,K043,water,0.023495,0.022873,0.022873,0.0049003,0.0038402,0.0017745,0.001239,0.11171,0.17703,0.061043,0.040579,0.11431,0.067236
