"","sample_name","tdn_date","npoc_date","campaign","kit_id","transect_location","npoc_mgl","tdn_mgl","gwc_perc","soil_mass","water_mass","water_L","wsoc_conc","wson_conc","field_soil","wsoc_conc_field","wson_conc_field"
"1","EC1_K010_UP",20221108,20221108,"EC1","K010","Upland",138.74,14.26,35,8.9938,45.4612,0.0455628050552733,0.702860145140943,0.0722414997095996,12.14163,0.520637144548847,0.0535122220071108
"2","EC1_K013_UP",20221108,20221108,"EC1","K013","Upland",94.9,10.92,25,9.0324,45.0811,0.0451818555378494,0.474708614603196,0.054624004968039,11.2905,0.379766891682557,0.0436992039744312
"3","EC1_K018_UP",20221108,20221111,"EC1","K018","Upland",377.65,45.2,87,8.9969,45.2922,0.0453934273429748,1.90541495804938,0.228054431626723,16.824203,1.01893848024031,0.121954241511616
"4","EC1_K019_UP",20221108,20221111,"EC1","K019","Upland",263.6,22.06,51,9.0268,45.454,0.0455555889633883,1.3303112122512,0.111330293407669,13.630468,0.881000802815367,0.0737286711309067
"5","EC1_K025_UP",20221108,20221111,"EC1","K025","Upland",326.85,14.17,22,8.9964,45.1028,0.0452036040370025,1.64230114039997,0.0711990428620699,10.975608,1.34614847573768,0.0583598711984179
"6","EC1_K026_UP",20221108,20221108,"EC1","K026","Upland",31.76,7.11,10,8.9981,45.2602,0.0453613558234864,0.16010898533623,0.0358430379641244,9.89791,0.145553623032936,0.0325845799673858
"7","EC1_K035_UP",20221108,20221108,"EC1","K035","Upland",126.88,9.61,16,8.998,44.9931,0.0450936588592561,0.635861684381242,0.0481607092284343,10.43768,0.548156624466588,0.041517852783133
"8","EC1_K048_UP",20221108,20221108,"EC1","K048","Upland",154.16,14.8,33,9.0237,45.3762,0.045477615081632,0.776935086603543,0.0745889937839416,12.001521,0.584161719250784,0.05608195021349
"9","EC1_K050_UP",20221108,20221111,"EC1","K050","Upland",948.48,46.6,NA,9.0081,44.996,0.0450965653407098,4.74830322646911,0.23329003284567,NA,NA,NA
"10","EC1_K061_UP",20221108,20221108,"EC1","K061","Upland",69.04,7.91,39,9.0053,45.1318,0.0452326688515389,0.346780613362159,0.039731092869274,12.517367,0.249482455656229,0.0285835200498374
"11","EC1_K035_UP_rep",20221108,20221108,"EC1","K035_rep","Upland",126.46,9.13,16,8.9977,45.5653,0.0456671377171091,0.641838051469333,0.046338616241618,10.437332,0.55330866505977,0.0399470829669121
"12","EC1_K010_T",20221108,20221108,"EC1","K010","Transition",89.34,8.4,71,9.0064,45.1722,0.0452731591448931,0.449092205321188,0.0422249219240875,15.400944,0.262627020655666,0.024692936797712
"13","EC1_K013_T",20221108,20221111,"EC1","K013","Transition",218.4,21.54,78,9.0038,45.2525,0.0453536386141095,1.10011713646699,0.10850056373397,16.026764,0.618043335093816,0.0609553728842527
"14","EC1_K018_T",20221108,20221108,"EC1","K018","Transition",79.04,10.54,58,8.9959,45.129,0.0452298625935837,0.39739974203769,0.0529933360460179,14.213522,0.251518824074487,0.0335400861050746
"15","EC1_K019_T",20221108,20221108,"EC1","K019","Transition",34.18,2.41,32,8.9944,45.0701,0.0451708309530252,0.171655585917282,0.0121032756600541,11.872608,0.130042110543396,0.00916914822731373
"16","EC1_K025_T",20221108,20221108,"EC1","K025","Transition",192.48,13.6,173,8.9994,45.253,0.0453541397316015,0.970038537629025,0.0685397137975621,24.568362,0.355325471658984,0.0251061222701692
"17","EC1_K026_T",20221108,20221111,"EC1","K026","Transition",302.95,28.8,54,9.0001,45.493,0.0455946761277649,1.53475040642953,0.14590134248282,13.860154,0.996591173006186,0.0947411314823507
"18","EC1_K035_T",20221108,20221111,"EC1","K035","Transition",292.65,29.22,256,8.9943,45.2275,0.0453285827395091,1.47486849879561,0.147260063334385,32.019708,0.41428890415607,0.0413651863298833
"19","EC1_K048_T",20221108,20221108,"EC1","K048","Transition",124.98,12.34,199,8.9953,45.1196,0.0452204415847339,0.62828930544396,0.062034645776752,26.895947,0.210130202489619,0.0207473731694823
"20","EC1_K050_T",20221108,20221108,"EC1","K050","Transition",49.1,3.84,66,9.0075,45.3638,0.0454651873678303,0.24783132942109,0.0193823280036046,14.95245,0.14929598157897,0.0116761012069907
"21","EC1_K061_T",20221108,20221108,"EC1","K061","Transition",43.5,4.72,36,9.0015,45.1748,0.0452757649558515,0.218796397886968,0.0237406666212986,12.24204,0.160879704328653,0.0174563725156607
"22","EC1_K018_T_rep",20221108,20221108,"EC1","K018_rep","Transition",81.6,10.83,58,9.0022,45.6827,0.0457848001042324,0.415014073060515,0.0550809119025168,14.223476,0.262667134848427,0.0348613366471626
"23","EC1_K010_W",20221108,20221108,"EC1","K010","Wetland",145.84,12.6,173,9.0023,45.3404,0.0454417350692043,0.736169939070322,0.0636021752076663,24.576279,0.269659318340777,0.0232975000760682
"24","EC1_K013_W",20221108,20221111,"EC1","K013","Wetland",452.1,38.2,300,5.0098,25.4414,0.0254982611223027,2.30104272693382,0.194425640718584,20.0392,0.575260681733456,0.0486064101796461
"25","EC1_K018_W",20221108,20221108,"EC1","K018","Wetland",40.34,4.65,37,8.9999,45.8804,0.0459829419605721,0.206108054388324,0.023758117325377,12.329863,0.150443835319945,0.0173416914783773
"26","EC1_K019_W",20221108,20221108,"EC1","K019","Wetland",13.79,1.25,12,9.0012,45.379,0.0454804213395873,0.0696768220096108,0.00631588306831135,10.081344,0.0622114482228667,0.00563918131099227
"27","EC1_K025_W",20221108,20221108,"EC1","K025","Wetland",93.34,7.51,150,9.0019,45.5084,0.0456101105465187,0.472927683979167,0.0380510703522985,22.50475,0.189171073591667,0.0152204281409194
"28","EC1_K026_W",20221108,20221108,"EC1","K026","Wetland",87.94,9.52,160,9.0015,45.3842,0.0454856329615042,0.444371111774113,0.0481056741424784,23.4039,0.170911966066966,0.0185021823624917
