VALUE,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
9265,Southwestern Great Plains Canyon,9265,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
9266,Tamaulipan Closed Depression Wetland Woodland,9266,2396,Tr Tamaulipan Closed Depression Wetland,Tree,Riparian,650,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,91,195,199,0.356863,0.764706,0.780392
9268,Tamaulipan Ramadero,9268,2476,Tr Tamaulipan Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,6,53,122,0.023529,0.207843,0.478431
9270,Tamaulipan Saline Thornscrub,9270,2441,Sh Tamaulipan Saline Thornscrub,Shrub,Shrubland,613,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
9272,Temperate Pacific Subalpine-Montane Wet Meadow,9272,2236,He Temperate Pacific Subalpine-Montane Wet Meadow,Herb,Riparian,675,Inland Marshes and Prairies,SRM 217: Wetlands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,127,59,1,0.498039,0.231373
9273,Texas Coast Beach,9273,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
9274,Texas Coast Fresh and Oligohaline Tidal Marsh,9274,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,653,Atlantic Coastal Marsh,SRM 807: Gulf Coast Fresh Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
9275,Texas Coast Salt and Brackish Tidal Marsh,9275,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,653,Atlantic Coastal Marsh,SRM 806: Gulf Coast Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1,0.6,0
9282,West Gulf Coastal Plain Large River Floodplain Forest,9282,2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1,0.45098
9283,West Gulf Coastal Plain Near-Coast Large River Swamp,9283,2480,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,LF 47: Gulf Coastal Plain Swamp,Tree-dominated,Open tree canopy,Deciduous open tree canopy,216,216,191,0.847059,0.847059,0.74902
