kit_id,transect_location,soil_mass,water_mass
K010,Upland,8.9938,45.4612
K013,Upland,9.0324,45.0811
K018,Upland,8.9969,45.2922
K019,Upland,9.0268,45.454
K025,Upland,8.9964,45.1028
K026,Upland,8.9981,45.2602
K035,Upland,8.998,44.9931
K048,Upland,9.0237,45.3762
K050,Upland,9.0081,44.996
K061,Upland,9.0053,45.1318
K035_rep,Upland,8.9977,45.5653
blank-filter1,Upland,N/A,45.0926
blank-solution1,Upland,N/A,N/A
K010,Transition,9.0064,45.1722
K013,Transition,9.0038,45.2525
K018,Transition,8.9959,45.129
K019,Transition,8.9944,45.0701
K025,Transition,8.9994,45.253
K026,Transition,9.0001,45.493
K035,Transition,8.9943,45.2275
K048,Transition,8.9953,45.1196
K050,Transition,9.0075,45.3638
K061,Transition,9.0015,45.1748
K018_rep,Transition,9.0022,45.6827
blank-filter2,Transition,N/A,45.3675
blank-solution2,Transition,N/A,N/A
K010,Wetland,9.0023,45.3404
K013,Wetland,5.0098,25.4414
K018,Wetland,8.9999,45.8804
K019,Wetland,9.0012,45.379
K025,Wetland,9.0019,45.5084
K026,Wetland,9.0015,45.3842
K035,Wetland,9.0002,43.3191
K048,Wetland,9.0014,45.0046
K050,Wetland,4.9999,26.2618
K061,Wetland,9.001,45.2979
K026_rep,Wetland,9.0003,45.055
blank-filter3,Wetland,N/A,45.3279
blank-solution3,Wetland,N/A,N/A
