Sample_ID,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
K010 T,0.018899,0.018624,0.018624,0.0042541,0.0033715,0.0012227,0.00078706,0.083012,0.10729,0.043965,0.045031,0.074383,0.042201
K010 UP,0.017983,0.017763,0.017763,0.0036778,0.0029054,0.001149,0.0007484,0.066658,0.085362,0.051451,0.043484,0.060066,0.033609
K010 W,0.010632,0.010347,0.010347,0.0027023,0.0022454,0.00060146,0.00035471,0.043467,0.052623,0.045676,0.0519,0.039392,0.025169
K013 T,0.017168,0.016892,0.016892,0.0038709,0.0031365,0.0011205,0.00070912,0.066759,0.081754,0.04316,0.037279,0.056363,0.035366
K013 UP,0.018689,0.018425,0.018425,0.00468,0.003773,0.0017095,0.0011872,0.076106,0.098273,0.039195,0.034759,0.060356,0.040674
K013 W,0.01224,0.012023,0.012023,0.0023667,0.0018804,0.00060964,0.00035379,0.040138,0.053411,0.055855,0.051964,0.036614,0.021614
K018 T,0.01593,0.015647,0.015647,0.0037462,0.0029745,0.0013856,0.00095377,0.058679,0.095017,0.076509,0.072542,0.04912,0.039884
K018 T rep,0.015039,0.014793,0.014793,0.00339,0.0026617,0.001174,0.00079953,0.05698,0.092966,0.079377,0.070909,0.047651,0.038842
K018 UP,0.014905,0.014756,0.014756,0.002567,0.0020105,0.00084065,0.00057141,0.05093,0.067102,0.095555,0.081798,0.051565,0.025706
K018 W,0.0090152,0.0088777,0.0088777,0.0018359,0.001417,0.00060269,0.00037322,0.037556,0.054172,0.032259,0.034968,0.029571,0.024482
K019 T,0.026883,0.02633,0.02633,0.0069986,0.0055767,0.0023303,0.0015558,0.1197,0.16296,0.087642,0.10873,0.11199,0.064114
K019 UP,0.018441,0.018071,0.018071,0.0039349,0.0031413,0.0012783,0.00083832,0.064042,0.083754,0.070064,0.072859,0.067025,0.036013
K019 W,0.018512,0.018106,0.018106,0.0054206,0.0043964,0.0016773,0.0011125,0.099562,0.17296,0.056069,0.052011,0.10226,0.063222
K025 T,0.017013,0.016742,0.016742,0.0038933,0.0030518,0.0012457,0.00086859,0.059467,0.077558,0.033681,0.034634,0.049252,0.033742
K025 UP,0.0093245,0.0091439,0.0091439,0.0020062,0.001467,0.00055342,0.00037604,0.062787,0.064341,0.010019,0.013378,0.054165,0.02607
K025 W,0.014424,0.014166,0.014166,0.0030538,0.0023299,0.00082297,0.00050932,0.062901,0.093292,0.031711,0.029624,0.054223,0.038876
K026 T,0.023069,0.022722,0.022722,0.005883,0.0046164,0.0018709,0.0012492,0.086782,0.11977,0.032299,0.032147,0.070698,0.053838
K026 UP,0.023476,0.022936,0.022936,0.0062261,0.0049139,0.0021605,0.0014944,0.14121,0.21235,0.050093,0.040925,0.13114,0.07975
K026 W,0.012786,0.012373,0.012373,0.0029346,0.0023328,0.00086292,0.00054065,0.043239,0.059167,0.041835,0.045167,0.038632,0.029418
K026 W rep,0.012317,0.011907,0.011907,0.0027748,0.0021991,0.00080677,0.00052092,0.041235,0.056764,0.037562,0.040658,0.036611,0.027605
K035 T,0.013304,0.013127,0.013127,0.0031055,0.0025312,0.0010047,0.00067876,0.03993,0.053883,0.068911,0.065514,0.033427,0.025831
K035 UP,0.017503,0.017164,0.017164,0.0042295,0.0033705,0.0014852,0.0010304,0.076446,0.10226,0.031343,0.027741,0.067732,0.040657
K035 UP rep,0.017454,0.017087,0.017087,0.0040846,0.0032337,0.0013538,0.0008923,0.077867,0.10106,0.031625,0.026945,0.068484,0.041351
K035 W,0.0076782,0.0076164,0.0076164,0.0011188,0.00085337,0.00029637,0.00018859,0.023118,0.025219,0.081493,0.07872,0.026823,0.0096873
K048 T,0.015003,0.014778,0.014778,0.0032324,0.0025245,0.00090542,0.00058167,0.066297,0.094775,0.056237,0.052939,0.063127,0.036815
K048 UP,0.015159,0.014814,0.014814,0.0034814,0.0027183,0.0011837,0.00083448,0.069161,0.097826,0.04216,0.035406,0.059155,0.038118
K048 W,0.0096018,0.0092659,0.0092659,0.0023275,0.0019236,0.00074507,0.00054814,0.031699,0.034337,0.044606,0.062565,0.028463,0.016637
K050 T,0.018811,0.018451,0.018451,0.0041947,0.0032396,0.0011605,0.00073833,0.095732,0.13405,0.030701,0.034123,0.085282,0.053427
K050 UP,0.033454,0.032432,0.032432,0.0068753,0.0050484,0.0018291,0.0011576,0.21736,0.27233,0.071671,0.048431,0.18883,0.10548
K050 W,0.0049704,0.0049024,0.0049024,0.00086718,0.00062789,0.00021966,0.00015676,0.015223,0.01639,0.038115,0.10255,0.014362,0.00785
K061 T,0.017034,0.016723,0.016723,0.0036841,0.0028264,0.0011625,0.00079723,0.094793,0.15588,0.083769,0.075221,0.082816,0.05873
K061 UP,0.018149,0.017818,0.017818,0.0038368,0.0029469,0.0011597,0.00075804,0.099081,0.14961,0.059504,0.053317,0.089637,0.053301
K061 W,0.016448,0.016112,0.016112,0.0035924,0.0027812,0.0010309,0.00066116,0.076951,0.11739,0.04762,0.044138,0.068575,0.046837
