Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.149124464659865	0.00296311025484548	0.213259037081209	0.00110370684850271	1.34088253974915	0.14616135440502	0.284475378023749	0.513792636186664	5.17738126194874E-4	99.8808574220488
797	0.145447930059993		0.208312411277		1.3260293006897	0.142484819805148	0.274764813430138	0.51857011102106	4.603065715381E-4	99.8940666440536
794	0.156733342917731		0.225510392470487		1.31175875663757	0.153770232662885	0.294367434912653	0.522375148964808	4.82389988921781E-4	99.8889872650279
791	0.170489513478914		0.245417435695386		1.29830348491669	0.167526403224068	0.317193365574899	0.528152292594248	5.24290495202045E-4	99.8793504922469
788	0.156205435319437		0.224968408524899		1.28535497188568	0.153242325064592	0.28774560732946	0.532561822530739	4.96313190197303E-4	99.8857849397868
785	0.152135539324347		0.219667228736511		1.27193987369537	0.149172429069502	0.277999658424649	0.536592130777508	4.77115381781531E-4	99.890200447297
782	0.158274338356825		0.229026135864642		1.25860202312469	0.155311228101979	0.286863630275207	0.541411359651897	4.87783970597831E-4	99.8877466413418
779	0.167367145632503		0.24280626596705		1.24614322185516	0.164404035377658	0.301196005750625	0.545837369150826	5.29164107822453E-4	99.8782296616766
776	0.185495742514411		0.269907021016231		1.23451888561249	0.182532632259565	0.331842767855288	0.550057587330532	5.26163147253094E-4	99.8789198193392
773	0.212882864749948		0.31061559491973		1.22383856773376	0.209919754495103	0.378792585793664	0.554181265336196	4.97840077067114E-4	99.8854337632655
770	0.279026005354794		0.409203376355627		1.21381187438965	0.276062895099948	0.495356224782238	0.557301758388738	4.8521589240678E-4	99.8883373011656
767	0.421089580989528		0.618664872863631		1.20520555973053	0.418126470734683	0.744288150755101	0.56178036733553	5.40996395125726E-4	99.8755085315235
764	0.442350338198276		0.647428728492104		1.19851565361023	0.43938722794343	0.774630655759827	0.567221584475559	5.53191418320758E-4	99.8727040587671
761	0.350132563145617		0.512724946681721		1.19181299209595	0.347169452890772	0.609756840665466	0.569357208870152	5.52265279977705E-4	99.8729170387683
758	0.335671727937286		0.492521140762696		1.18398952484131	0.332708617682441	0.5818330940788	0.571828280426724	5.3000659775077E-4	99.8780359076124
755	0.364061410135859		0.534823773192539		1.17633533477783	0.361098299881013	0.627833772920459	0.575149530744917	5.13309820738355E-4	99.881875867411
752	0.401105101088914		0.589598213586465		1.16980671882629	0.398141990834068	0.688424827974434	0.578337640734907	5.28801559240872E-4	99.8783130399536
749	0.436165933163173		0.641344487641171		1.16390073299408	0.433202822908327	0.745176714057289	0.5813424047427	5.57436442482208E-4	99.8717278548606
746	0.497132797390997		0.731466591925837		1.15848278999329	0.494169687136151	0.846112832811936	0.584047030103359	5.60890537239346E-4	99.8709335435025
743	0.586670642949969		0.862753404755732		1.15345752239227	0.583707532695124	0.993876325718124	0.587303991040703	5.69417390523238E-4	99.8689727162913
740	0.661731033122455		0.97241760109488		1.14841175079346	0.658767922867609	1.11546828986149	0.590575212989164	5.71365302931785E-4	99.8685247815765
737	0.786000651766523		1.15538463100343		1.14263534545898	0.783037541511677	1.31892218252848	0.593695027564501	5.72173754994548E-4	99.8683388735277
734	0.940933249414044		1.3810502715812		1.13635516166687	0.937970139159199	1.56810940165847	0.598153507763666	5.79719069127927E-4	99.8666038032601
731	0.99183898163251		1.45392510161228		1.12990951538086	0.988875871377665	1.64155671809248	0.602401281953119	5.88069280985625E-4	99.8646836792031
728	0.968627229405924		1.42090697125105		1.12338900566101	0.965664119151078	1.59499137743143	0.605435322607311	5.70072781304033E-4	99.8688220048332
725	0.948508191400378		1.39394134330704		1.11702907085419	0.945545081145532	1.55584013090402	0.607739228706052	5.53948997914808E-4	99.872529841825
722	0.948006647212929		1.3959945506963		1.11090362071991	0.945043536958084	1.54958928893956	0.609867107177031	5.10640479268956E-4	99.8824897818487
719	0.925801585656148		1.36542527347469		1.10438621044159	0.922838475401303	1.50673792479003	0.612474445766607	5.16079042256388E-4	99.8812389858258
716	0.841955318290986		1.24379659354078		1.09723365306854	0.83899220803614	1.36352445570766	0.615311448594966	5.38128865863677E-4	99.8761679847303
713	0.691129862350686		1.02334778460719		1.08915162086487	0.68816675209584	1.11337879421039	0.61808861069955	5.87149777850929E-4	99.8648951163517
