Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.149150063414646	0.00295953232059464	0.213216152407308	0.00108861751598244	1.34088253974915	0.146190531094051	0.284438107735806	0.513962535673445	3.74150602084639E-4	99.9138857397399
797	0.145509064283687		0.208329836661452		1.3260293006897	0.142549531963092	0.274807928897547	0.518724232357346	3.31251502815561E-4	99.923755603581
794	0.156904576284967		0.225664623426902		1.31175875663757	0.153945043964372	0.29458954228434	0.522574707746356	3.16511639565836E-4	99.9271470523536
791	0.170558239369752		0.245423993465135		1.29830348491669	0.167598707049158	0.317221470083214	0.528333429024187	3.75369310267451E-4	99.9136053638559
788	0.156189078355391		0.224884097154386		1.28535497188568	0.153229546034797	0.287656632438763	0.532682124294203	3.9822036852366E-4	99.9083483973326
785	0.152322285844597		0.21988083820221		1.27193987369537	0.149362753524003	0.278290549545171	0.536715148136063	3.77561859165384E-4	99.9131009482543
782	0.158289616791517		0.228955457153987		1.25860202312469	0.155330084470923	0.286793665371423	0.541609188856234	3.29123762577434E-4	99.9242451615313
779	0.167474296816157		0.242865758154312		1.24614322185516	0.164514764495563	0.301288945005977	0.546036511536455	3.70745737934709E-4	99.9146690666191
776	0.185819063893734		0.270295097339144		1.23451888561249	0.182859531573139	0.33234048347095	0.55021744466206	3.99967140901168E-4	99.9079465575682
773	0.213327038026982		0.311129611488721		1.22383856773376	0.210367505706387	0.379440126002349	0.554415548831767	3.14278245494854E-4	99.9276609370123
770	0.279431186322413		0.409571169933259		1.21381187438965	0.276471654001818	0.495820972605082	0.557603791040171	2.4991144505145E-4	99.9424723167262
767	0.421919596550176		0.619458611721543		1.20520555973053	0.418960064229582	0.745262954987077	0.562164081048208	2.44460823887167E-4	99.9437266544992
764	0.443056072906149		0.648015338444594		1.19851565361023	0.440096540585554	0.775351801771678	0.567608844888133	2.56785783757173E-4	99.9408903648549
761	0.350565285922208		0.513052187586175		1.19181299209595	0.347605753601614	0.610164834289479	0.56969155557185	2.97307044134999E-4	99.9315659499978
758	0.33625250384439		0.493082802595168		1.18398952484131	0.333292971523795	0.582515961416592	0.572161097033764	2.77311209403939E-4	99.9361671161699
755	0.364701806709227		0.535399925686575		1.17633533477783	0.361742274388633	0.628529271572436	0.575537673024578	2.20323062753913E-4	99.9492816061339
752	0.401872440258211		0.590267831808887		1.16980671882629	0.398912907937616	0.689225803472636	0.578784058762324	1.93699563258048E-4	99.9554089720675
749	0.437384614951516		0.642623306605788		1.16390073299408	0.434425082630921	0.746682694872754	0.581806817827691	2.10633045395437E-4	99.9515117083316
746	0.49758471877591		0.731547487311256		1.15848278999329	0.494625186455315	0.84622402945577	0.58450855711746	2.17836859541673E-4	99.9498537868698
743	0.587396796816697		0.863152048552968		1.15345752239227	0.584437264496102	0.994353549308903	0.587755999767184	2.35298440170496E-4	99.9458352063494
740	0.662722835486656		0.973098560564815		1.14841175079346	0.659763303166061	1.11626764048536	0.591044010627409	2.26759808991925E-4	99.9478002532233
737	0.786789309600286		1.15562400600247		1.14263534545898	0.783829777279691	1.31921294246788	0.594164711432684	2.28730642774548E-4	99.9473466898867
734	0.941191006981374		1.38039251340512		1.13635516166687	0.938231474660779	1.56737910160085	0.598598943741507	2.56426819494634E-4	99.9409729706082
731	0.992598138733969		1.45404475737352		1.12990951538086	0.989638606413374	1.64170896785607	0.602810014314386	2.93498168967808E-4	99.9324423795748
728	0.968188267005334		1.41945521954786		1.12338900566101	0.965228734684739	1.59337744671938	0.605775321266193	3.2625136835302E-4	99.9249060558917
725	0.948699791741409		1.39351569755679		1.11702907085419	0.945740259420815	1.55538152745019	0.608043906096283	3.36279072547382E-4	99.9225988522009
722	0.947735994137838		1.39496027274633		1.11090362071991	0.944776461817244	1.54845706861424	0.610140559248924	3.15955263519723E-4	99.9272750694225
719	0.926184726523758		1.3653697784798		1.10438621044159	0.923225194203163	1.50669330133368	0.612749252542605	3.21262261334615E-4	99.9260539841626
716	0.841327488703651		1.24230333365905		1.09723365306854	0.838367956383056	1.36190255723609	0.615585859596652	3.44489339663222E-4	99.9207098494458
713	0.691555967085312		1.02349234149138		1.08915162086487	0.688596434764717	1.11355267314608	0.618377963944219	3.83885860570305E-4	99.9116460690957
